,svcscan.nservices,svcscan.kernel_drivers,dlllist.avg_dlls_per_proc,pslist.avg_handlers,handles.nmutant,handles.nkey,handles.nsemaphore,dlllist.ndlls,svcscan.process_services,pslist.avg_threads,ldrmodules.not_in_load,ldrmodules.not_in_load_avg,malfind.uniqueInjections,svcscan.nactive,malfind.commitCharge,ldrmodules.not_in_init_avg,callbacks.ncallbacks,pslist.nppid,psxview.not_in_ethread_pool_false_avg,malfind.ninjections
2916,392,222,44.75299774,263.1124634,406,1009,770,1969,24,11.07297167,82,0.041322128,1.453942639,126,7,0.061824726,87,18,0.209872168,5
42721,389,221,33.66037736,172.1481481,285,738,704,1784,24,8.555555556,53,0.028882834,12.0,122,10999,0.056675749,86,19,0.171875,72
11674,395,222,48.54578751,281.0174629,359,821,740,2087,27,12.59008475,71,0.034139311,1.262515066,124,6,0.053355935,88,12,0.034262066,5
39326,389,221,37.73170732,201.4878049,251,683,603,1547,24,9.365853659,46,0.029318037,1.0,119,3,0.054811982,86,16,0.0,3
4414,395,222,52.27458115,304.3497208,398,897,757,2090,27,13.2008377,80,0.038241225,1.25,123,6,0.055927791,88,12,0.0,5
52444,389,221,38.65853659,206.9512195,258,750,622,1585,24,9.658536585,51,0.031677019,1.0,120,4,0.056521739,87,16,0.0,4
21643,392,222,43.3212278,250.7214129,371,953,770,1906,24,10.6600564,79,0.041185911,1.224554405,126,6,0.062446331,87,17,0.138592391,5
28484,395,222,49.77605121,298.054083,351,783,745,2090,27,13.02864106,66,0.032531253,1.5,124,4,0.052040735,88,12,0.029931663,3
40220,389,221,39.08108108,215.2162162,230,673,594,1446,24,10.16216216,42,0.028826356,1.0,119,3,0.05353466,86,15,0.0,3
41064,389,221,38.95,208.875,262,666,608,1558,24,9.85,46,0.028822055,1.0,122,3,0.053258145,87,16,0.024390244,3
28351,395,222,51.75253015,301.3030523,396,877,770,2173,27,13.0750373,78,0.036438296,1.25,123,6,0.055088433,88,12,0.023255814,5
44342,389,221,36.5952381,196.9047619,243,700,608,1537,24,9.238095238,44,0.02804334,1.0,121,3,0.053537285,88,16,0.068181818,3
40928,389,221,37.95238095,203.1428571,243,718,642,1594,24,9.738095238,57,0.0351418,1.0,119,3,0.060419236,87,18,0.0,3
14988,395,222,49.911276,288.0011372,363,801,731,2064,27,13.20947048,55,0.027633555,1.0,123,3,0.047148848,88,13,0.017095184,3
35435,389,221,38.075,204.8,233,689,603,1523,24,9.65,43,0.027976578,1.0,119,4,0.053350683,86,16,0.0,4
14733,395,222,50.04753549,296.5368328,387,805,751,2101,27,13.25402396,71,0.034780759,1.333333333,125,5,0.054133649,88,12,0.0,4
44624,389,221,39.0,210.6923077,257,678,598,1521,24,9.948717949,44,0.028350515,1.0,120,3,0.052835052,87,15,0.113636364,3
54006,389,221,40.02439024,214.804878,267,668,654,1641,24,11.02439024,50,0.029585799,2.2,122,59,0.053254438,87,17,0.0,11
52355,389,221,39.10810811,215.2702703,230,669,596,1447,24,10.21621622,43,0.029472241,1.0,119,3,0.054146676,87,15,0.0,3
35788,389,221,37.80952381,200.8571429,264,681,618,1588,24,9.380952381,46,0.028307692,1.0,122,3,0.052923077,87,17,0.088888889,3
43379,389,221,37.6,196.0888889,273,709,652,1692,24,9.377777778,58,0.033295063,1.0,122,3,0.058553387,86,19,0.0,3
4321,395,222,50.46511628,280.9429449,379,826,759,2170,27,12.248303,86,0.039467646,1.25,122,6,0.05782469,88,12,0.0,5
39297,389,221,39.05405405,215.1891892,230,668,594,1445,24,10.08108108,42,0.02878684,1.0,119,3,0.053461275,86,15,0.097560976,3
37508,389,221,37.575,204.25,232,691,602,1503,24,9.575,46,0.03030303,1.0,119,4,0.05599473,87,16,0.0,4
6596,395,222,50.57984355,293.7679921,350,841,726,2012,27,12.91577053,60,0.030112033,1.333333333,123,5,0.048576094,88,12,0.095616191,4
18826,392,222,46.99608389,268.604704,426,1132,828,2114,24,11.52079713,89,0.041206033,1.714285714,123,77,0.061403096,87,18,0.0,12
37971,389,221,38.69047619,206.8333333,261,686,642,1625,24,10.11904762,51,0.030447761,1.0,122,4,0.054925373,87,16,0.023255814,4
48048,389,221,38.58139535,208.4883721,284,688,662,1659,24,9.837209302,46,0.027042916,12.4,122,18505,0.051146384,86,17,0.023255814,62
54433,389,221,37.04545455,193.6136364,262,720,613,1630,24,9.090909091,50,0.030266344,1.75,119,31,0.055690073,87,19,0.065217391,7
55606,389,221,37.15909091,201.5681818,264,682,649,1635,24,10.38636364,54,0.032009484,1.0,122,3,0.05690575,86,17,0.085106383,3
17763,395,222,48.25477243,281.3190488,324,749,666,1894,27,13.73643958,55,0.029378261,1.333333333,121,5,0.048283454,88,12,0.057123905,4
40322,389,221,39.36585366,210.2926829,267,674,643,1614,24,10.12195122,46,0.027727547,1.0,122,3,0.051838457,87,16,0.088888889,3
48326,389,221,37.73913043,197.326087,278,710,681,1736,24,9.739130435,59,0.032887402,1.0,122,3,0.057971014,87,19,0.0,3
53166,389,221,39.85365854,214.0,266,668,652,1634,24,10.97560976,50,0.029708853,1.75,122,31,0.053475936,86,17,0.046511628,7
42746,389,221,38.90243902,213.1707317,274,702,654,1595,24,9.853658537,45,0.027846535,12.4,119,18505,0.051980198,86,16,0.047619048,62
29186,395,222,48.93181818,286.7954545,347,791,751,2153,27,12.53376632,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
6900,395,222,49.73458971,293.8450782,360,806,746,2088,27,13.19047619,72,0.035201557,1.333333333,124,5,0.054674246,88,12,0.0,4
42093,389,221,39.075,209.1,262,664,606,1563,24,9.925,45,0.028037383,1.0,123,3,0.052336449,86,16,0.090909091,3
55387,389,221,37.625,201.55,234,689,610,1505,24,9.475,43,0.028308097,1.0,119,5,0.053982883,87,16,0.024390244,4
10461,392,222,44.2,244.2251923,370,899,757,1989,24,10.60410421,94,0.046488625,1.2,127,7,0.067260138,87,17,0.153846154,6
53994,389,221,39.26315789,214.0,251,678,600,1492,24,10.10526316,45,0.029801325,1.0,119,3,0.054304636,86,15,0.0,3
25616,392,222,47.36372648,260.210493,520,1177,925,3060,24,11.10112674,120,0.038524798,1.833333333,126,60,0.058528576,87,19,0.004706194,11
24116,395,222,49.3255814,292.7535416,357,794,745,2121,27,12.72579981,69,0.0331253,1.5,124,4,0.052808449,88,12,0.0,3
51868,389,221,38.26190476,206.1666667,264,685,642,1607,24,10.0952381,50,0.030193237,1.0,122,3,0.054951691,86,16,0.045454545,3
14019,395,222,51.16876453,302.655944,352,864,751,1995,27,13.22237778,62,0.031351423,1.333333333,123,5,0.049555475,88,12,0.0,4
6726,395,222,52.26190476,306.8605173,403,877,780,2195,27,13.49895661,80,0.036900369,1.25,125,6,0.055350554,88,12,0.0,5
42516,389,221,39.21052632,213.9736842,250,677,598,1490,24,10.05263158,44,0.029081295,1.0,119,3,0.053536021,86,15,0.136363636,3
33439,389,221,39.46341463,211.3658537,268,673,643,1618,24,10.19512195,47,0.028245192,1.0,122,3,0.052283654,87,16,0.088888889,3
36388,389,221,36.95555556,197.2,262,690,648,1663,24,10.08888889,47,0.027517564,1.0,122,3,0.052693208,87,17,0.043478261,3
31648,389,221,39.0,214.1891892,230,664,594,1443,24,10.08108108,42,0.028865979,1.0,118,3,0.053608247,88,15,0.0,3
40271,389,221,39.76923077,217.4615385,259,654,634,1551,24,10.74358974,47,0.029430182,1.0,122,3,0.053224796,86,15,0.170212766,3
9210,393,222,46.40556033,259.0602076,462,1064,882,2870,25,10.75800258,97,0.033542994,1.548386266,125,36,0.053319986,87,16,0.029970588,8
41337,389,221,38.175,205.275,236,704,615,1527,24,9.475,46,0.029773463,68.25,119,361,0.055016181,87,16,0.0,273
26034,392,222,47.09856715,271.1872282,476,1035,811,2400,24,11.80863524,93,0.038453898,1.25,126,6,0.058494215,87,17,0.038189429,5
3336,392,222,43.49998342,254.8558794,326,863,707,1751,24,10.78216324,73,0.041471208,1.5,126,4,0.062488865,87,16,0.245070952,3
19442,395,222,50.14285714,285.436115,392,816,748,2106,27,12.84559169,79,0.037476281,1.25,124,6,0.05597723,88,12,0.045454545,5
14723,395,222,52.00223268,306.3470322,415,877,777,2184,27,13.51763783,79,0.036640889,1.25,123,6,0.055193238,88,12,0.0,5
3867,395,222,51.92466275,314.3381199,384,868,769,2128,27,13.97573345,69,0.033423393,1.666666667,124,7,0.052067442,88,13,0.0,5
37868,389,221,38.26190476,203.6904762,273,714,616,1607,24,9.523809524,48,0.029574861,1.0,120,3,0.054836722,86,17,0.0,3
43429,386,220,34.88571429,171.0,189,450,414,1221,23,9.6,37,0.029435163,1.0,115,2,0.056483691,88,14,0.0,2
27101,395,222,49.56097561,282.5104781,337,780,737,2032,27,12.65929842,68,0.033613445,1.333333333,124,5,0.05239743,88,12,0.046511628,4
31357,389,221,40.0,220.1282051,259,652,640,1560,24,11.35897436,46,0.028660436,1.0,121,3,0.052336449,86,15,0.113636364,3
11818,395,222,52.06818182,312.6427751,452,912,785,2291,27,13.67366025,92,0.040421793,1.2,124,7,0.05887522,88,12,0.0,6
46398,389,221,37.76315789,202.1052632,226,623,579,1435,24,9.736842105,45,0.030821918,1.0,119,2,0.056164384,86,15,0.05,2
4473,392,222,49.16812749,275.2992572,477,1312,964,2437,24,11.31980994,111,0.044247546,1.777777778,126,77,0.063580987,87,21,0.0,16
38836,389,221,36.37209302,197.8139535,256,685,607,1564,24,9.348837209,38,0.050802139,1.0,120,2,0.077540107,57,17,0.044444444,2
210,395,222,52.23809524,305.8571429,403,877,780,2194,27,13.30952381,79,0.036472761,1.25,125,6,0.054939982,88,12,0.0,5
38306,389,221,39.28947368,214.3421053,252,680,600,1493,24,10.07894737,44,0.029062087,1.0,119,3,0.053500661,86,15,0.095238095,3
5830,395,222,48.17705757,283.2419902,333,803,729,1986,27,12.55885613,64,0.033126294,1.5,122,4,0.051759834,88,12,0.038915969,3
44146,389,221,39.02564103,210.5641026,257,665,598,1522,24,9.974358974,44,0.028368794,1.0,121,3,0.052869117,87,15,0.113636364,3
11785,395,222,44.5407991,260.0990427,221,593,482,1336,27,14.07423549,29,0.02173188,1.0,115,2,0.042714384,88,13,0.0,2
26925,395,222,47.11722014,279.7818913,316,756,667,1538,27,12.45968106,60,0.040760465,1.5,124,4,0.058669936,88,11,0.206997876,3
57774,389,221,37.45238095,201.452381,238,704,607,1573,24,9.30952381,54,0.0338134,1.0,119,3,0.058860363,86,18,0.023809524,3
54731,389,221,38.9047619,207.1428571,268,739,627,1634,24,9.761904762,51,0.030520646,1.0,121,4,0.055056852,86,16,0.023255814,4
41190,389,221,39.51428571,215.0285714,226,600,578,1383,24,10.4,42,0.029893238,1.0,120,2,0.054092527,87,14,0.0,2
14155,395,222,48.47727273,284.0744482,350,828,747,2133,27,12.71669239,73,0.03494495,1.333333333,124,5,0.054092867,88,12,0.0,4
23512,395,222,50.02012611,299.718865,331,767,739,2000,27,13.20911722,63,0.03219534,1.5,124,4,0.051614751,88,12,0.043090464,3
6457,395,222,44.84590134,265.7838942,223,633,487,1357,27,13.91520711,30,0.022754343,1.0,115,2,0.043978564,88,13,0.0,2
30319,389,221,38.94736842,214.3157895,245,628,628,1480,24,10.28947368,44,0.029274784,15.0,119,18558,0.05322688,87,15,0.026315789,60
4306,392,222,49.21428571,281.612026,429,1252,825,2067,24,11.45855768,102,0.047819972,2.0,124,77,0.067041725,87,16,0.085791469,12
11401,395,222,48.91465093,286.7585836,347,791,750,2152,27,12.36665997,74,0.034918109,1.333333333,125,5,0.054736495,88,12,0.022222222,4
30667,389,221,39.08108108,215.5945946,230,667,596,1446,24,10.27027027,43,0.029452055,1.0,119,3,0.054109589,86,15,0.0,3
20688,395,222,49.625,292.0950305,333,803,729,1985,27,12.69503047,64,0.033126294,1.5,123,4,0.051759834,88,12,0.0,3
31693,389,221,39.0,212.5789474,237,668,600,1482,24,9.973684211,42,0.028,1.0,119,3,0.052666667,87,15,0.11627907,3
52401,389,221,38.0,198.5581395,267,692,614,1634,24,9.255813953,50,0.029832936,1.0,122,4,0.054892601,87,17,0.065217391,4
35545,389,221,36.92857143,204.9285714,252,703,650,1551,24,9.642857143,44,0.028132992,18.0,119,23160,0.052429668,86,18,0.071428571,90
1315,395,222,49.76923077,292.8205128,329,801,723,1941,27,12.87179487,63,0.033386328,1.5,123,4,0.051934287,88,12,0.0,3
4411,395,222,49.11488263,290.7943359,342,782,746,2105,27,12.56777955,67,0.03250609,1.5,124,4,0.052291251,88,12,0.038458913,3
55748,389,221,39.48780488,213.4878049,268,673,643,1619,24,10.65853659,49,0.029394121,1.0,122,3,0.053389322,86,16,0.068181818,3
41990,389,221,39.21621622,214.972973,230,667,594,1451,24,10.16216216,42,0.028747433,1.0,120,3,0.05338809,87,15,0.0,3
26022,395,222,48.93023256,285.5359005,343,820,748,2104,27,12.61779495,65,0.031676413,1.5,123,4,0.050682261,88,14,0.0,3
21893,395,222,49.625,291.9994514,333,803,729,1985,27,12.85,64,0.033126294,1.5,122,4,0.051759834,88,12,0.0,3
52223,389,221,39.39473684,215.3157895,254,682,600,1497,24,10.07894737,46,0.030263158,1.0,119,3,0.054605263,86,15,0.025641026,3
55220,389,221,39.41463415,209.8536585,268,674,642,1616,24,9.975609756,47,0.028313253,1.0,123,3,0.052409639,86,16,0.0,3
12229,395,222,48.91375771,286.5320609,347,791,750,2152,27,12.41842451,74,0.034918756,1.333333333,125,5,0.054737511,88,12,0.022222222,4
32137,389,221,39.73809524,216.2857143,273,717,671,1669,24,11.07142857,51,0.029668412,1.25,121,21,0.053519488,87,16,0.0,5
37381,389,221,39.1,209.2,262,665,608,1564,24,9.85,45,0.028107433,1.0,123,3,0.052467208,86,16,0.069767442,3
3154,392,222,43.95348837,256.4351406,395,958,745,1890,24,10.92546723,83,0.043206663,1.25,126,6,0.064029151,87,17,0.176470588,5
9691,392,222,44.81395349,266.3989444,402,1004,764,1927,24,11.20128223,80,0.040920716,1.5,126,8,0.061381074,87,18,0.236363636,6
13134,395,222,47.74158187,275.860105,303,804,697,1899,27,12.74890005,54,0.028863322,1.467121624,122,4,0.048275028,88,14,0.062269595,3
17542,395,222,48.93181818,286.189299,347,791,751,2153,27,12.52301221,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
54202,389,221,39.02564103,210.7435897,257,659,600,1522,24,10.02564103,45,0.028957529,1.0,121,3,0.053410553,86,15,0.048780488,3
29642,389,221,38.9,208.7,262,663,606,1556,24,9.925,45,0.0281602,1.0,122,3,0.052565707,87,16,0.111111111,3
5121,395,222,52.44444444,313.2829352,488,926,796,2360,27,13.86891286,100,0.042498938,1.166666667,124,8,0.060773481,88,12,0.0,7
35252,389,221,39.05405405,215.3243243,230,667,596,1445,24,10.2972973,43,0.029512697,1.0,119,3,0.054221002,86,15,0.0,3
17956,395,222,49.76923077,292.5778511,329,801,723,1941,27,12.97096112,63,0.033386328,1.5,123,4,0.051934287,88,12,0.0,3
49977,389,221,37.425,202.9,233,694,604,1497,24,9.55,44,0.029158383,1.0,119,3,0.055003313,86,16,0.0,3
57023,389,221,39.02702703,214.2162162,230,664,594,1444,24,9.945945946,42,0.02878684,1.0,118,3,0.053461275,87,15,0.177777778,3
52209,389,221,38.65909091,203.9772727,273,717,667,1701,24,9.909090909,52,0.029680365,1.0,123,4,0.054223744,87,17,0.022222222,4
49438,385,220,36.5,182.5,186,427,406,1168,23,10.40625,36,0.029925187,1.0,114,2,0.055694098,88,13,0.0,2
10669,395,222,49.71105659,293.4456816,358,805,746,2087,27,13.14955652,71,0.034939406,1.333333333,124,5,0.054427119,88,12,0.0,4
40366,378,219,33.15625,179.2,211,429,476,1061,21,9.85,10,0.04784689,7.0,113,10045,0.119617225,57,15,0.071428571,21
38294,389,221,37.02173913,195.4130435,275,702,655,1703,24,9.456521739,38,0.041758242,1.0,123,2,0.069230769,55,18,0.0,2
48750,389,221,39.08108108,214.7027027,230,668,594,1446,24,10.10810811,42,0.028846154,1.0,119,3,0.053571429,86,15,0.0,3
36767,387,221,35.91666667,177.6666667,188,482,459,1293,23,9.694444444,41,0.030757689,1.0,115,2,0.058514629,88,14,0.0,2
26060,395,222,49.48780488,295.0843532,337,805,736,2029,27,12.9864841,65,0.032878098,1.5,122,4,0.051593323,88,12,0.0,3
26499,395,222,48.93181818,287.2754056,347,791,750,2153,27,12.59180187,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.014523835,4
44018,389,221,37.28888889,195.8,273,706,644,1678,24,9.577777778,58,0.033467975,1.0,122,3,0.058857473,87,19,0.0,3
5834,395,222,51.96859153,306.1933437,398,896,770,2140,27,13.36273975,75,0.03596791,1.25,123,6,0.053850253,88,12,0.004532543,5
15320,395,222,48.72330052,277.4545455,353,836,759,2143,27,12.50307409,73,0.034400803,1.227887547,123,6,0.053556658,88,13,0.0,5
47825,389,221,39.36585366,210.1463415,267,673,643,1614,24,10.09756098,46,0.027727547,1.0,122,3,0.051838457,87,16,0.088888889,3
33561,389,221,16.94059406,87.92079208,271,715,629,1711,24,4.01980198,48,0.028368794,2.5,122,90,0.053191489,86,18,0.578431373,10
24973,395,222,49.48780488,294.0783831,337,805,735,2029,27,12.88344807,65,0.032878098,1.5,122,4,0.051593323,88,12,0.0,3
22209,392,222,47.82549135,274.1947465,470,1161,891,2583,24,11.89940155,107,0.041098475,1.831601295,126,60,0.060883454,87,19,0.084789025,11
35907,389,221,39.26829268,209.7073171,268,675,642,1610,24,10.0,46,0.027828191,1.0,122,3,0.052026618,86,16,0.068181818,3
36596,378,219,36.23529412,182.6470588,184,465,438,1232,21,10.05882353,39,0.030732861,1.0,113,2,0.055949567,88,14,0.029411765,2
14315,395,222,52.23820425,304.2627348,398,897,757,2089,27,13.2495305,80,0.038267861,1.25,123,6,0.055966746,88,12,0.0,5
46517,389,221,39.24324324,215.3243243,230,667,594,1452,24,10.13513514,42,0.028688525,1.0,120,3,0.053278689,87,15,0.026315789,3
19155,395,222,52.25402842,306.7314824,403,877,780,2194,27,13.45274195,79,0.036758914,1.25,125,6,0.055214734,88,12,0.0,5
40778,389,221,40.57894737,221.7368421,250,720,643,1542,24,10.36842105,52,0.033269354,1.25,120,136,0.056941779,86,16,0.0,5
4548,395,222,50.58536585,298.4871759,350,809,746,2074,27,13.26719201,72,0.035485461,1.333333333,123,5,0.053721045,88,12,0.023809524,4
57518,389,221,39.35,214.5,260,663,638,1574,24,10.65,46,0.0284126,1.0,123,3,0.052501544,87,15,0.047619048,3
16358,395,222,52.22322777,305.4940296,398,897,759,2088,27,13.48451482,80,0.038278827,1.25,123,6,0.055982785,88,12,0.0,5
11609,395,222,51.63414634,309.1933663,376,827,769,2117,27,13.64546362,69,0.033189033,1.666666667,124,7,0.051948052,88,13,0.0,5
9648,392,222,45.78476264,256.5874137,401,1071,798,2071,24,11.42281137,80,0.038069255,1.764971899,122,76,0.05894931,87,18,0.03311466,11
41281,389,221,39.76923077,217.2307692,259,654,634,1551,24,10.74358974,47,0.029430182,1.0,122,3,0.053224796,86,15,0.093023256,3
27917,392,222,44.41463415,258.5858813,384,888,722,1821,24,11.09764688,83,0.045330079,1.333333333,126,5,0.065837404,87,16,0.215686275,4
49772,389,221,37.425,203.675,232,691,604,1497,24,9.575,44,0.028985507,1.0,119,3,0.054677207,87,16,0.090909091,3
29945,389,221,39.19047619,211.0714286,245,769,655,1646,24,9.595238095,55,0.032816229,1.6,119,9,0.057279236,87,17,0.0,8
33291,385,220,36.59375,185.0,186,430,406,1171,23,10.46875,37,0.030654515,1.0,114,2,0.056338028,88,13,0.0,2
40652,389,221,39.41463415,211.0731707,267,671,645,1616,24,10.2195122,47,0.028279182,1.0,122,3,0.05234657,86,16,0.088888889,3
34996,389,221,39.76923077,217.3589744,259,659,634,1551,24,10.69230769,46,0.028822055,1.0,122,3,0.052631579,87,15,0.113636364,3
51276,389,221,38.85714286,209.8571429,263,678,648,1632,24,10.80952381,49,0.029166667,1.0,122,3,0.053571429,86,16,0.023255814,4
19418,395,222,52.45238095,305.4669896,446,943,772,2203,27,13.18993433,89,0.0402169,1.2,123,7,0.057840036,88,12,0.0,6
10236,395,222,49.48780488,295.6468195,337,805,736,2029,27,13.19999728,65,0.032878098,1.5,123,4,0.051593323,88,12,0.008571959,3
30844,389,221,38.07894737,210.0,230,674,596,1447,24,9.894736842,43,0.029351536,1.0,119,3,0.053924915,86,15,0.177777778,3
14668,395,222,48.93023256,285.4430042,343,820,748,2104,27,12.58139535,65,0.031676413,1.5,123,4,0.050682261,88,14,0.0,3
39180,389,221,37.525,202.075,232,685,604,1501,24,9.475,44,0.029042904,1.0,119,11,0.054785479,86,16,0.0,4
23564,395,222,49.76246596,291.5288603,360,808,746,2090,27,12.68991499,73,0.035516477,1.333333333,123,5,0.054971283,88,12,0.0,4
54048,389,221,38.20930233,203.2325581,269,689,645,1643,24,9.790697674,58,0.034117647,1.0,122,3,0.058823529,87,17,0.022727273,3
581,395,222,50.025,301.475,336,795,738,2001,27,13.325,63,0.032357473,1.5,123,4,0.050847458,88,12,0.047619048,3
28748,395,222,51.4047619,306.4505397,387,860,837,2159,27,13.19704577,71,0.033443241,1.25,124,6,0.052284503,88,12,0.023255814,5
3080,395,222,50.69361095,301.2552636,388,869,841,2184,27,13.22189037,70,0.032679961,1.25,123,6,0.051813369,88,13,0.020503623,5
40142,389,221,39.41463415,210.9268293,268,674,643,1616,24,10.31707317,47,0.028279182,1.0,122,3,0.05234657,88,16,0.108695652,3
39504,389,221,39.15909091,206.4090909,285,766,662,1723,24,9.545454545,57,0.032167043,1.0,122,4,0.056433409,86,18,0.022222222,4
42774,389,221,39.0,209.325,264,669,606,1560,24,9.875,47,0.029393371,1.0,122,3,0.053783615,87,16,0.090909091,3
4151,395,222,52.23809524,305.8638496,403,877,780,2194,27,13.26699081,79,0.036472761,1.25,125,6,0.054939982,88,12,0.0,5
48578,389,221,37.525,203.275,233,690,602,1501,24,9.6,43,0.028401585,1.0,119,3,0.054161162,87,16,0.0,3
25110,391,221,42.80785538,238.946837,320,818,675,1792,24,10.95350376,72,0.039388401,1.216117903,123,5,0.061565476,87,16,0.066913504,4
12633,395,222,50.73988757,298.8706173,369,864,768,2094,27,13.98106646,66,0.031751614,1.140099816,123,5,0.050484345,88,13,0.0,4
13520,395,222,51.6,304.5298227,406,855,751,2064,27,13.74903546,82,0.039690223,1.25,124,6,0.057599226,88,12,0.024390244,5
1503,395,222,50.7804878,304.2682927,405,936,772,2082,27,13.3902439,68,0.033284386,1.25,123,6,0.05237396,88,13,0.0,5
24808,392,222,47.4984515,274.0008512,448,1139,836,2129,24,11.69639314,95,0.043510519,1.795677409,123,77,0.063494466,87,17,0.045520931,12
810,395,222,49.39534884,289.6976744,394,899,743,2124,27,13.1627907,60,0.028503563,1.25,123,6,0.047505938,88,14,0.0,5
4467,395,222,49.48780488,294.1174281,337,805,735,2029,27,12.87473759,65,0.032878098,1.5,122,4,0.051593323,88,12,0.0,3
51686,389,221,37.72093023,204.0697674,261,678,648,1622,24,10.53488372,48,0.028776978,1.0,122,3,0.053357314,86,16,0.045454545,3
25453,392,222,47.61949033,276.6348689,447,1078,803,2058,24,11.71532454,96,0.045293178,1.81890801,124,62,0.065212028,87,17,0.057314823,11
57881,389,221,38.9,208.225,262,662,608,1556,24,9.8,45,0.028248588,1.0,121,3,0.052730697,86,16,0.069767442,3
1578,395,222,49.76190476,291.5589419,360,808,746,2090,27,12.70218698,73,0.035505837,1.333333333,123,5,0.054961089,88,12,0.0,4
9001,395,222,49.625,292.4211931,333,803,729,1985,27,12.85632709,64,0.033126294,1.5,122,4,0.051759834,88,12,0.0,3
6940,395,222,49.625,292.5609831,333,803,729,1985,27,12.85,64,0.033126294,1.5,122,4,0.051759834,88,12,0.0,3
26324,392,222,44.79069767,263.5735992,373,970,756,1926,24,11.2919749,79,0.040450589,1.25,126,6,0.0609319,87,17,0.20754717,5
37167,389,221,39.08108108,215.4054054,230,672,596,1446,24,10.13513514,43,0.029291553,1.0,119,3,0.053814714,86,15,0.139534884,3
54709,389,221,38.27906977,204.3488372,268,676,662,1646,24,10.06976744,47,0.027794205,1.0,122,3,0.052040213,87,17,0.045454545,3
38934,389,221,38.11627907,208.4651163,277,739,627,1639,24,9.372093023,49,0.029288703,1.0,121,2,0.053795577,86,17,0.023255814,2
44953,389,221,37.28888889,195.1111111,273,706,644,1678,24,9.355555556,57,0.032947977,1.0,122,3,0.058381503,87,19,0.0,3
36227,389,221,39.34146341,209.097561,267,675,642,1613,24,9.902439024,45,0.027190332,1.0,123,3,0.051359517,86,16,0.068181818,3
28015,392,222,48.47303097,272.270348,452,1202,896,2287,24,11.69180011,104,0.044368901,1.813926078,124,72,0.063929855,87,19,0.0,12
51994,389,221,37.7804878,203.2682927,257,710,608,1549,24,9.487804878,48,0.030553787,1.0,119,3,0.056015277,87,16,0.0,3
7088,395,222,50.80371455,300.862273,384,914,774,2138,27,13.61840885,71,0.03397122,1.322154874,124,4,0.051680014,88,12,0.023011063,4
7076,392,222,46.80723698,255.0192797,523,1209,945,3084,24,10.86784908,120,0.038489926,1.732351115,126,60,0.058531397,87,20,0.02107455,11
39110,389,221,45.37931034,256.7586207,240,582,606,1316,24,12.37931034,31,0.023031204,1.0,117,2,0.043833581,88,10,0.033333333,2
2272,395,222,51.18181818,302.2615234,471,989,780,2252,27,13.46302823,89,0.039363114,1.142857143,124,9,0.057496683,88,13,0.0,8
28041,395,222,48.53227318,276.23643,313,811,721,1892,27,12.43741814,68,0.036761789,1.333333333,125,5,0.055142683,88,12,0.106382528,4
46954,389,221,38.9,208.35,263,663,606,1556,24,9.85,45,0.028248588,1.0,122,3,0.052730697,86,16,0.069767442,3
34901,389,221,38.1,204.925,233,690,605,1524,24,9.6,44,0.028478964,1.0,119,4,0.053721683,86,16,0.069767442,4
6221,395,222,50.45,292.9080389,351,843,727,2018,27,12.93898702,60,0.03003003,1.333333333,123,5,0.048548549,88,13,0.090909091,4
36117,389,221,39.34146341,208.8780488,267,675,642,1613,24,9.829268293,45,0.027190332,1.0,123,3,0.051359517,86,16,0.0,3
9831,395,222,48.01279144,272.8939619,337,786,738,2049,27,12.22394091,69,0.034246092,1.333333333,123,5,0.053172294,88,12,0.053613294,4
24455,395,222,52.70731707,304.2903789,414,912,771,2161,27,13.40053229,89,0.040994933,1.2,123,7,0.058498388,88,12,0.0,6
30749,389,221,38.86486486,210.1891892,230,635,593,1438,24,10.16216216,45,0.030779754,1.0,119,24,0.054719562,86,15,0.027027027,3
42117,389,221,37.70731707,202.6829268,255,700,606,1546,24,9.56097561,45,0.028753994,1.0,119,3,0.054313099,87,16,0.046511628,3
46510,389,221,39.54285714,214.5714286,223,598,570,1384,24,10.28571429,42,0.029871977,1.0,120,2,0.054054054,87,14,0.0,2
43342,389,221,39.02702703,214.7297297,230,666,594,1444,24,10.05405405,42,0.028806584,1.0,119,3,0.053497942,87,15,0.025641026,3
958,395,222,49.625,292.15,333,803,729,1985,27,12.975,64,0.033126294,1.5,122,4,0.051759834,88,12,0.024390244,3
53571,389,221,38.51219512,205.4634146,263,672,610,1579,24,9.682926829,45,0.027846535,1.0,123,3,0.05259901,86,16,0.068181818,3
12603,395,222,52.05,306.628763,382,887,768,2082,27,13.67762399,76,0.036573628,1.25,123,6,0.054379211,88,12,0.0,5
13351,395,222,48.19828565,281.6117381,340,805,724,2008,27,13.57575208,59,0.029633843,1.333333333,123,5,0.048566708,88,12,0.029678149,4
17411,395,222,49.48780488,295.3425207,337,805,736,2029,27,13.14422694,65,0.032878098,1.5,123,4,0.051593323,88,12,0.0,3
48649,389,221,40.07692308,221.2307692,259,661,640,1563,24,11.46153846,47,0.02921069,1.0,122,3,0.052827843,86,15,0.113636364,3
