,Class
30410,1
7614,0
21407,0
48676,1
47931,1
39447,1
49711,1
11289,0
32911,1
32313,1
23530,0
22631,0
31867,1
48565,1
36909,1
34843,1
668,0
36234,1
20243,0
6440,0
11107,0
33355,1
54631,1
4603,0
52322,1
19783,0
25623,0
47716,1
58220,1
23066,0
4379,0
48899,1
48922,1
11496,0
33016,1
39292,1
27269,0
11360,0
16015,0
51354,1
49716,1
53684,1
5458,0
15811,0
49043,1
53059,1
34800,1
7700,0
16817,0
43368,1
10393,0
2971,0
12426,0
45985,1
53548,1
45344,1
3545,0
52975,1
47476,1
23840,0
23113,0
11266,0
4349,0
38992,1
3106,0
7017,0
19260,0
23295,0
47598,1
18672,0
53581,1
50325,1
22247,0
58257,1
30043,1
16722,0
15885,0
40478,1
32335,1
17585,0
51875,1
54692,1
25357,0
44392,1
48641,1
25597,0
39774,1
53363,1
15350,0
49246,1
8217,0
24497,0
11025,0
38847,1
39090,1
8961,0
33491,1
45672,1
29668,1
19801,0
679,0
38097,1
54785,1
18042,0
29054,0
21553,0
10982,0
30484,1
57926,1
7278,0
3486,0
57056,1
29439,1
22882,0
22252,0
56681,1
29740,1
24076,0
57046,1
22477,0
29449,1
34517,1
49720,1
14710,0
8559,0
11395,0
6820,0
9055,0
44702,1
22586,0
47671,1
28358,0
130,0
50555,1
42689,1
57011,1
15279,0
4746,0
12398,0
31509,1
16618,0
36742,1
26315,0
51966,1
10734,0
47270,1
3509,0
39713,1
22988,0
33619,1
26468,0
1006,0
11993,0
25010,0
41667,1
22348,0
13815,0
38616,1
47428,1
9003,0
47160,1
35629,1
613,0
51915,1
665,0
19000,0
13419,0
15009,0
48780,1
9850,0
7921,0
39788,1
23755,0
44113,1
48450,1
29075,0
6752,0
25544,0
47530,1
1791,0
29946,1
1333,0
1905,0
20948,0
56974,1
57938,1
44181,1
49330,1
49554,1
42478,1
18904,0
32702,1
17667,0
19697,0
54994,1
10477,0
25447,0
49338,1
50866,1
42346,1
38770,1
5517,0
28188,0
39910,1
44325,1
23262,0
16262,0
29354,1
3862,0
47074,1
36666,1
51404,1
39965,1
18335,0
8747,0
6034,0
28606,0
25499,0
8632,0
48647,1
24361,0
47906,1
56300,1
29018,0
52396,1
47995,1
12601,0
10360,0
43733,1
16800,0
6937,0
13973,0
12399,0
49172,1
57678,1
14492,0
32696,1
36172,1
32546,1
29736,1
28325,0
21565,0
56245,1
38556,1
54954,1
35476,1
57834,1
29958,1
12205,0
45114,1
11647,0
38086,1
19232,0
28635,0
34116,1
22723,0
50388,1
3955,0
41309,1
54084,1
55141,1
57028,1
24916,0
22750,0
58278,1
11031,0
33443,1
27343,0
57965,1
49030,1
53360,1
53226,1
36182,1
38666,1
54373,1
12124,0
29251,0
7808,0
22856,0
32805,1
34306,1
52381,1
14166,0
50405,1
39433,1
53421,1
52566,1
22194,0
36849,1
18766,0
10546,0
56855,1
35759,1
34120,1
14237,0
15340,0
45912,1
35150,1
37746,1
28112,0
47265,1
56453,1
52992,1
46708,1
23651,0
11789,0
5169,0
29959,1
34197,1
29463,1
42019,1
17329,0
53787,1
22485,0
5777,0
47355,1
5188,0
15628,0
1432,0
34176,1
1048,0
19236,0
58033,1
52562,1
17968,0
6977,0
35751,1
26384,0
11611,0
52449,1
31378,1
1311,0
54795,1
51890,1
39605,1
9314,0
8421,0
27321,0
52613,1
12854,0
20286,0
38967,1
33381,1
42299,1
23105,0
16555,0
58590,1
56840,1
14057,0
24533,0
34838,1
48435,1
21525,0
24108,0
51654,1
26562,0
48571,1
56679,1
14,0
16250,0
5673,0
26440,0
42838,1
45335,1
50329,1
17729,0
58036,1
15241,0
38699,1
2277,0
5719,0
26338,0
30203,1
52177,1
12531,0
47959,1
53993,1
29266,0
24334,0
28053,0
5114,0
56989,1
9735,0
20731,0
47235,1
6448,0
40250,1
49193,1
37711,1
2117,0
22064,0
50148,1
38440,1
32280,1
52264,1
13810,0
35549,1
49460,1
42424,1
27904,0
11744,0
37818,1
46726,1
2833,0
58023,1
17409,0
21877,0
2072,0
26379,0
7571,0
4237,0
45318,1
205,0
53964,1
13378,0
21025,0
13021,0
17360,0
56686,1
25070,0
24320,0
48139,1
7027,0
8981,0
7671,0
32933,1
10854,0
34518,1
18136,0
48230,1
31549,1
35370,1
54220,1
50382,1
42035,1
39228,1
25951,0
38186,1
19976,0
49968,1
15767,0
34148,1
56769,1
878,0
43190,1
3525,0
35599,1
47637,1
11198,0
41040,1
45070,1
8176,0
56113,1
44322,1
1321,0
25441,0
46488,1
16929,0
44101,1
32946,1
43891,1
14648,0
47215,1
7364,0
32718,1
17704,0
38139,1
23131,0
26471,0
18892,0
43930,1
15813,0
46767,1
45111,1
30530,1
28094,0
36789,1
29769,1
40700,1
56587,1
12406,0
22730,0
8540,0
20621,0
33921,1
6885,0
57555,1
23430,0
49560,1
35735,1
10936,0
47415,1
7631,0
9947,0
12980,0
23820,0
16666,0
16782,0
37324,1
33406,1
54550,1
12911,0
57443,1
9326,0
42947,1
19553,0
33160,1
17942,0
50916,1
34906,1
29675,1
44370,1
38251,1
22115,0
15895,0
9167,0
33734,1
37478,1
16487,0
27612,0
5737,0
12536,0
10658,0
17874,0
39778,1
3730,0
7529,0
51435,1
34286,1
28263,0
28103,0
15041,0
12892,0
22367,0
15276,0
6911,0
49392,1
30704,1
22645,0
1253,0
53849,1
3459,0
23885,0
32129,1
29691,1
18336,0
22363,0
29858,1
28585,0
23153,0
41403,1
49835,1
13263,0
19628,0
1840,0
41276,1
10339,0
15581,0
39985,1
54085,1
55826,1
42210,1
27308,0
38239,1
34954,1
18001,0
17414,0
31997,1
51197,1
49688,1
5194,0
1534,0
36533,1
39547,1
6961,0
30320,1
5095,0
17385,0
26661,0
38906,1
41879,1
30912,1
11632,0
47090,1
28145,0
37778,1
18228,0
494,0
10311,0
33082,1
34561,1
53080,1
6525,0
27234,0
50331,1
14481,0
22490,0
19734,0
41653,1
57466,1
42783,1
660,0
32529,1
3003,0
49148,1
7286,0
42620,1
47264,1
52953,1
56200,1
37543,1
2937,0
54271,1
4325,0
41648,1
461,0
1434,0
16863,0
27048,0
43353,1
53830,1
24552,0
16419,0
36681,1
27680,0
41682,1
3519,0
38620,1
21530,0
14705,0
5358,0
47557,1
34092,1
8297,0
12589,0
55273,1
14150,0
38739,1
54951,1
29711,1
37569,1
10200,0
29132,0
5729,0
14343,0
26417,0
1172,0
43168,1
49532,1
23830,0
42293,1
7246,0
39841,1
3044,0
50750,1
12939,0
9542,0
38428,1
11257,0
52454,1
51153,1
57925,1
45477,1
37964,1
54848,1
6613,0
10086,0
26763,0
17410,0
31955,1
28375,0
762,0
58284,1
5083,0
56610,1
1831,0
29549,1
20272,0
22019,0
28866,0
8079,0
48672,1
2678,0
17408,0
46155,1
28219,0
10550,0
53831,1
26341,0
45847,1
57607,1
22886,0
18824,0
36692,1
24798,0
26738,0
55671,1
36945,1
42528,1
37120,1
50782,1
52575,1
45629,1
42373,1
12908,0
9375,0
14049,0
10496,0
37435,1
19822,0
1251,0
15959,0
47664,1
14847,0
20889,0
4889,0
42833,1
17963,0
24303,0
19981,0
15857,0
51631,1
51160,1
18980,0
57880,1
36526,1
23254,0
16275,0
14585,0
16540,0
18253,0
18905,0
42823,1
6004,0
9887,0
41483,1
37308,1
31480,1
18851,0
43292,1
33589,1
47633,1
43063,1
17523,0
18882,0
58401,1
9921,0
1839,0
31261,1
18953,0
10644,0
33141,1
20598,0
31110,1
15231,0
57122,1
4474,0
32538,1
12004,0
22701,0
8186,0
25809,0
40460,1
53497,1
16546,0
218,0
31529,1
12865,0
26380,0
22293,0
41507,1
32589,1
31309,1
47472,1
28410,0
29451,1
46695,1
12070,0
43970,1
33346,1
10613,0
37241,1
23825,0
17238,0
53374,1
40438,1
35065,1
18883,0
34837,1
58425,1
42275,1
24358,0
39679,1
31901,1
50642,1
36498,1
45691,1
48674,1
27166,0
47935,1
53468,1
16440,0
9252,0
27179,0
4113,0
33081,1
30404,1
26856,0
36819,1
55635,1
25880,0
33116,1
4468,0
26791,0
54773,1
36778,1
52342,1
30584,1
331,0
39019,1
58080,1
26887,0
13722,0
29297,0
38210,1
28115,0
32905,1
29660,1
16246,0
3131,0
3298,0
38178,1
35578,1
2862,0
44444,1
14469,0
23434,0
1809,0
3497,0
36193,1
3544,0
56231,1
36755,1
6875,0
47925,1
55752,1
16706,0
35426,1
35529,1
41028,1
4893,0
27905,0
5197,0
48838,1
40193,1
32079,1
21394,0
26851,0
29318,1
45655,1
19185,0
19407,0
8608,0
56491,1
41528,1
20373,0
48099,1
1138,0
11782,0
326,0
25451,0
34700,1
47846,1
56601,1
17917,0
5698,0
35670,1
43885,1
53311,1
39834,1
52924,1
24699,0
4423,0
31296,1
691,0
2944,0
7760,0
11269,0
30556,1
27626,0
18324,0
33420,1
52837,1
29897,1
30973,1
50288,1
14332,0
49161,1
2953,0
17477,0
24913,0
57119,1
45067,1
6138,0
15875,0
15470,0
8857,0
45325,1
1025,0
20477,0
28922,0
43352,1
45607,1
52160,1
25405,0
8840,0
55075,1
39822,1
52537,1
8588,0
27140,0
50766,1
38554,1
57248,1
7745,0
15944,0
5657,0
14963,0
58357,1
25170,0
53883,1
38984,1
12715,0
47857,1
49868,1
46113,1
32843,1
38016,1
54569,1
11009,0
18370,0
17198,0
9775,0
51100,1
29666,1
56934,1
56515,1
47344,1
15489,0
32006,1
5934,0
29989,1
36790,1
40339,1
36125,1
4607,0
58395,1
30807,1
51335,1
10415,0
50764,1
756,0
17598,0
49569,1
41110,1
25638,0
37104,1
49441,1
47360,1
20270,0
55299,1
1713,0
34125,1
9978,0
10826,0
18732,0
26135,0
8291,0
22274,0
36544,1
44655,1
32044,1
47860,1
43090,1
38822,1
45991,1
22894,0
39417,1
46663,1
9086,0
3409,0
19876,0
42481,1
47263,1
45399,1
39688,1
54598,1
3022,0
20353,0
56035,1
18714,0
7393,0
35866,1
33056,1
26713,0
43631,1
5322,0
21857,0
9522,0
8377,0
21275,0
38875,1
44776,1
23998,0
14706,0
56905,1
6969,0
26549,0
25988,0
8951,0
6965,0
46393,1
40612,1
14193,0
50835,1
36456,1
14838,0
10122,0
25981,0
46154,1
8332,0
16892,0
34015,1
24931,0
24492,0
38416,1
15737,0
10619,0
22624,0
47927,1
3665,0
1755,0
56182,1
53079,1
38104,1
52237,1
45387,1
38050,1
58028,1
23856,0
43330,1
23976,0
18350,0
33920,1
8128,0
57115,1
9859,0
17926,0
39800,1
15655,0
53988,1
21296,0
31961,1
49983,1
39464,1
16656,0
26653,0
11550,0
9734,0
5813,0
22743,0
53372,1
39622,1
9889,0
57982,1
6201,0
693,0
33036,1
56346,1
38074,1
51302,1
52725,1
43382,1
24623,0
10084,0
49613,1
16775,0
25371,0
14929,0
17236,0
2298,0
13157,0
5360,0
38348,1
13707,0
1590,0
31123,1
2874,0
46863,1
16016,0
8954,0
6286,0
17786,0
12138,0
17669,0
46363,1
11633,0
54526,1
31304,1
47558,1
26109,0
34472,1
12465,0
29252,0
9660,0
36433,1
7221,0
41291,1
2770,0
5617,0
28180,0
57953,1
40615,1
8195,0
6002,0
32065,1
20624,0
14644,0
13922,0
41017,1
18113,0
17800,0
41248,1
50952,1
2584,0
21589,0
18125,0
7127,0
45374,1
6781,0
3547,0
53155,1
18191,0
30736,1
47774,1
813,0
22450,0
26605,0
3095,0
50924,1
18126,0
7254,0
28591,0
40378,1
41029,1
52315,1
42518,1
1260,0
51911,1
55979,1
55416,1
39818,1
16681,0
648,0
27373,0
45235,1
37083,1
57573,1
13056,0
26118,0
16445,0
51951,1
872,0
8276,0
35391,1
56792,1
24648,0
52860,1
15662,0
27992,0
47145,1
8063,0
28696,0
531,0
9717,0
58077,1
55991,1
39122,1
12954,0
40676,1
14372,0
44054,1
39915,1
459,0
10905,0
24638,0
8610,0
13466,0
18750,0
40879,1
11665,0
35973,1
28439,0
45308,1
22393,0
22595,0
1050,0
24637,0
23439,0
48290,1
46185,1
8943,0
54595,1
27265,0
29951,1
1938,0
47559,1
46483,1
21282,0
22923,0
42412,1
23615,0
3954,0
42160,1
40871,1
7752,0
11498,0
15712,0
18744,0
12712,0
15458,0
43771,1
56388,1
5767,0
2654,0
36169,1
43662,1
30633,1
4386,0
47485,1
54767,1
56604,1
18033,0
18468,0
52040,1
2131,0
23542,0
3693,0
42010,1
52132,1
29233,0
33616,1
58010,1
38869,1
57058,1
57357,1
32245,1
48832,1
10489,0
26159,0
25267,0
25303,0
28537,0
27585,0
47697,1
56780,1
42589,1
51756,1
4819,0
30256,1
3204,0
8477,0
7363,0
40586,1
413,0
37655,1
44053,1
21795,0
41520,1
11730,0
37836,1
43738,1
35623,1
54007,1
46631,1
32113,1
11354,0
30896,1
38866,1
6260,0
6798,0
18896,0
24731,0
50903,1
50315,1
40330,1
21547,0
33226,1
13511,0
56823,1
8613,0
5393,0
46114,1
57436,1
520,0
9365,0
55385,1
33533,1
54635,1
16533,0
47275,1
28555,0
15769,0
28139,0
45058,1
16268,0
52586,1
55815,1
43929,1
31862,1
26806,0
38469,1
13601,0
12068,0
832,0
9099,0
6204,0
29398,1
3647,0
4275,0
47488,1
37380,1
36583,1
39414,1
30383,1
46079,1
7326,0
47753,1
48425,1
1509,0
2732,0
20871,0
35544,1
43763,1
5424,0
19076,0
44260,1
33179,1
52913,1
10482,0
16982,0
10527,0
44250,1
51897,1
31403,1
755,0
33469,1
14682,0
23977,0
47750,1
971,0
57877,1
43917,1
40172,1
55123,1
48700,1
9321,0
10917,0
17971,0
41180,1
1795,0
19819,0
55221,1
56912,1
39162,1
56753,1
40131,1
21192,0
39593,1
46015,1
34063,1
48496,1
30307,1
52673,1
19153,0
39193,1
47144,1
33018,1
2564,0
52457,1
11150,0
56582,1
788,0
44472,1
21535,0
3013,0
12113,0
45375,1
13435,0
1073,0
7600,0
33019,1
8713,0
49205,1
1835,0
30128,1
12354,0
33697,1
22916,0
15603,0
48944,1
46050,1
5325,0
54890,1
29207,0
58236,1
44171,1
3523,0
31127,1
14675,0
53814,1
27440,0
7236,0
13189,0
5908,0
29971,1
10419,0
10381,0
47688,1
39706,1
20962,0
48680,1
3441,0
31060,1
38507,1
46753,1
9008,0
13742,0
11464,0
22727,0
49697,1
54030,1
58110,1
36149,1
17948,0
42617,1
25467,0
52047,1
4439,0
14702,0
48403,1
3581,0
31439,1
50909,1
58541,1
9360,0
38638,1
7456,0
52269,1
7959,0
50262,1
29916,1
40825,1
38261,1
9482,0
5034,0
14303,0
31636,1
39598,1
32021,1
42888,1
42261,1
24430,0
48380,1
21496,0
1779,0
57159,1
2606,0
17886,0
25599,0
26552,0
25264,0
51953,1
13700,0
47940,1
57442,1
3739,0
9992,0
18034,0
42302,1
44892,1
48341,1
25436,0
55845,1
34526,1
1670,0
19572,0
33111,1
50179,1
7371,0
4030,0
9270,0
44296,1
48726,1
55163,1
56451,1
20048,0
2782,0
51278,1
23296,0
23464,0
51665,1
39470,1
26617,0
24312,0
50294,1
15825,0
5898,0
1360,0
38307,1
15579,0
24266,0
19967,0
35416,1
24410,0
21462,0
21653,0
30965,1
33297,1
2712,0
18185,0
9315,0
58084,1
51963,1
3641,0
6835,0
38227,1
21023,0
4624,0
18205,0
29634,1
37211,1
35253,1
24783,0
25294,0
37073,1
19014,0
43498,1
31286,1
16634,0
44766,1
4102,0
10780,0
4284,0
45388,1
912,0
12778,0
1226,0
39397,1
1110,0
30678,1
33499,1
34370,1
22232,0
7023,0
52775,1
48232,1
49071,1
57472,1
40313,1
54451,1
44577,1
50716,1
27547,0
35437,1
33705,1
57675,1
40770,1
38936,1
18819,0
21291,0
31315,1
3227,0
26703,0
48363,1
23022,0
52512,1
44977,1
34490,1
21970,0
25898,0
36744,1
20464,0
21875,0
20433,0
34911,1
47923,1
50622,1
26350,0
1502,0
20004,0
22846,0
26349,0
14770,0
18615,0
46349,1
49897,1
31975,1
35092,1
27267,0
25152,0
4128,0
27138,0
45582,1
19013,0
39893,1
29729,1
40483,1
43505,1
42071,1
42704,1
1566,0
4553,0
51172,1
29726,1
26477,0
22085,0
58414,1
24781,0
37924,1
31641,1
17698,0
32323,1
28416,0
58577,1
38654,1
12617,0
38759,1
42154,1
15918,0
12689,0
23009,0
24402,0
44721,1
47636,1
57626,1
533,0
32798,1
39911,1
18886,0
151,0
5903,0
147,0
16320,0
34038,1
16894,0
6822,0
8737,0
15856,0
17230,0
37627,1
39030,1
49964,1
27030,0
10157,0
54135,1
41202,1
52743,1
41054,1
16292,0
16242,0
5630,0
38724,1
41325,1
38576,1
17779,0
50675,1
3392,0
35969,1
52202,1
49933,1
20061,0
9264,0
56745,1
29747,1
8521,0
22446,0
14772,0
32717,1
25135,0
2772,0
38160,1
36003,1
20317,0
31354,1
42633,1
9497,0
17365,0
8897,0
19031,0
1129,0
43722,1
27378,0
46246,1
11072,0
52618,1
45294,1
50982,1
7272,0
13745,0
50024,1
3779,0
6794,0
1259,0
37563,1
31358,1
18161,0
23493,0
31347,1
17816,0
36443,1
9431,0
26375,0
49095,1
12833,0
40431,1
33537,1
29304,1
34919,1
17620,0
16224,0
23163,0
55935,1
44239,1
42058,1
305,0
57695,1
41841,1
36917,1
34923,1
29671,1
57821,1
55165,1
36096,1
10423,0
27074,0
20469,0
24240,0
8812,0
57878,1
114,0
3198,0
30919,1
46173,1
13543,0
31106,1
20972,0
55973,1
6289,0
38479,1
11315,0
2342,0
43040,1
32232,1
48848,1
54637,1
16764,0
5770,0
48894,1
1035,0
38335,1
8536,0
18300,0
19924,0
4704,0
20727,0
28681,0
24011,0
34958,1
35464,1
25372,0
54232,1
45007,1
44659,1
54772,1
44819,1
49038,1
14883,0
49003,1
52503,1
46928,1
43230,1
16539,0
5723,0
35518,1
5139,0
24677,0
40604,1
41697,1
42798,1
20413,0
29049,0
47635,1
39305,1
5217,0
7439,0
32392,1
49124,1
34330,1
5612,0
24618,0
41346,1
46979,1
42562,1
48514,1
30772,1
57909,1
23107,0
1722,0
6734,0
2253,0
45504,1
34089,1
15178,0
37568,1
26585,0
14344,0
24436,0
30228,1
34721,1
56196,1
52526,1
39670,1
39742,1
57418,1
15777,0
3920,0
50961,1
15094,0
57341,1
9786,0
21149,0
55715,1
31642,1
19482,0
43993,1
16511,0
34631,1
637,0
39531,1
9957,0
39258,1
31982,1
18292,0
24441,0
46328,1
30114,1
21640,0
14732,0
27010,0
4970,0
35450,1
12425,0
55001,1
40318,1
13010,0
16747,0
44486,1
28201,0
6509,0
46344,1
13653,0
38568,1
49499,1
16339,0
15569,0
12746,0
35353,1
25029,0
26348,0
52392,1
55390,1
36823,1
49544,1
7991,0
18899,0
11146,0
46508,1
56666,1
47323,1
36187,1
28957,0
50420,1
26999,0
26837,0
39106,1
5739,0
8205,0
13715,0
3429,0
34181,1
48758,1
45861,1
17132,0
9294,0
6414,0
24501,0
56806,1
56392,1
43967,1
22944,0
50163,1
50007,1
56655,1
44864,1
1130,0
10500,0
2051,0
47244,1
22825,0
45710,1
27158,0
40269,1
31412,1
13023,0
5615,0
45512,1
48940,1
51392,1
41192,1
47436,1
27875,0
21244,0
9726,0
39630,1
30297,1
30037,1
43574,1
16414,0
414,0
15629,0
792,0
42643,1
15201,0
50911,1
28975,0
34191,1
45716,1
7641,0
51254,1
28027,0
11364,0
641,0
55987,1
20734,0
58326,1
49280,1
2281,0
6141,0
43696,1
16636,0
25835,0
18531,0
43205,1
15550,0
1126,0
16074,0
34698,1
44354,1
58419,1
3206,0
48168,1
32327,1
25566,0
8582,0
2333,0
55059,1
20414,0
10370,0
7046,0
57515,1
10323,0
37247,1
20299,0
38464,1
25422,0
22512,0
34868,1
35107,1
9229,0
23208,0
38582,1
55018,1
33930,1
24508,0
4181,0
19434,0
29684,1
48819,1
49138,1
18,0
15264,0
20802,0
10495,0
53053,1
42742,1
34059,1
57598,1
15984,0
50774,1
8418,0
15614,0
6998,0
29159,0
19171,0
23269,0
18143,0
23096,0
4989,0
55684,1
37048,1
21279,0
2881,0
55938,1
55725,1
36532,1
8127,0
47875,1
6847,0
1997,0
29409,1
22099,0
49743,1
4826,0
50045,1
46975,1
28504,0
44351,1
29179,0
20522,0
39324,1
58460,1
3121,0
15111,0
19905,0
7220,0
58320,1
52207,1
14513,0
32655,1
13107,0
11294,0
9236,0
1052,0
42725,1
18533,0
45761,1
43232,1
49543,1
31734,1
7763,0
26367,0
42989,1
36457,1
46593,1
44951,1
14557,0
20582,0
57545,1
29311,1
16671,0
43546,1
50861,1
48443,1
7997,0
48741,1
21097,0
51004,1
48898,1
10502,0
26910,0
19455,0
16179,0
4296,0
2894,0
16413,0
7045,0
4667,0
43728,1
56246,1
20327,0
29002,0
41669,1
17986,0
26742,0
18762,0
32716,1
24633,0
10881,0
14774,0
18121,0
13332,0
2579,0
44481,1
28880,0
3520,0
3346,0
32700,1
28436,0
58059,1
15609,0
13415,0
26186,0
25959,0
38769,1
40158,1
30110,1
27368,0
12665,0
27432,0
11443,0
25247,0
39541,1
16902,0
28851,0
21939,0
49784,1
3286,0
53879,1
49842,1
36059,1
37446,1
49440,1
10190,0
43618,1
45408,1
8108,0
7391,0
5394,0
19620,0
43549,1
54016,1
3555,0
2142,0
7541,0
6,0
36878,1
29138,0
43660,1
8039,0
54231,1
32391,1
16596,0
7762,0
12326,0
41363,1
3271,0
57197,1
4029,0
527,0
939,0
20485,0
18254,0
45967,1
52003,1
14004,0
40055,1
50117,1
17871,0
12408,0
1615,0
24685,0
8718,0
38066,1
38397,1
34080,1
14756,0
48093,1
31968,1
2275,0
51255,1
19792,0
50887,1
46380,1
10269,0
24503,0
53559,1
27564,0
46859,1
8102,0
13372,0
10044,0
32273,1
7751,0
14002,0
33681,1
48001,1
29973,1
14236,0
34152,1
4271,0
29137,0
45181,1
18725,0
54249,1
43051,1
1085,0
43727,1
14711,0
14524,0
30865,1
26013,0
38968,1
15308,0
33309,1
41275,1
16606,0
27674,0
8342,0
58528,1
17056,0
15355,0
36897,1
32135,1
50828,1
40594,1
13544,0
3376,0
37067,1
52369,1
24688,0
51260,1
36394,1
26280,0
38061,1
34252,1
42417,1
56434,1
39448,1
39338,1
23189,0
7367,0
11078,0
44770,1
7330,0
42306,1
10346,0
4740,0
43587,1
36116,1
13317,0
8098,0
13894,0
23577,0
32185,1
3993,0
4969,0
26533,0
2694,0
54277,1
58415,1
52111,1
22787,0
45146,1
36146,1
14224,0
38381,1
18119,0
39786,1
47447,1
55761,1
6554,0
54734,1
29782,1
47916,1
34457,1
5990,0
841,0
1949,0
52592,1
33120,1
53116,1
19094,0
57592,1
51512,1
33328,1
18122,0
45155,1
45314,1
36638,1
14719,0
11781,0
5346,0
48165,1
50617,1
32942,1
10099,0
12931,0
33741,1
16278,0
13336,0
32549,1
14190,0
9891,0
26609,0
3161,0
21794,0
42387,1
14276,0
35699,1
54024,1
4226,0
3661,0
37057,1
14497,0
54729,1
1663,0
3082,0
24465,0
36279,1
33944,1
28346,0
29142,0
45891,1
25230,0
39477,1
9287,0
38362,1
43254,1
38181,1
2952,0
50161,1
3400,0
41295,1
7963,0
20084,0
11272,0
15928,0
4752,0
32656,1
42749,1
40268,1
26637,0
295,0
45108,1
44554,1
45735,1
31551,1
4609,0
3153,0
9517,0
12376,0
31596,1
56911,1
27777,0
45279,1
15285,0
47693,1
28245,0
29559,1
17248,0
11952,0
18235,0
48141,1
23689,0
21065,0
35132,1
27790,0
49981,1
22887,0
26679,0
52020,1
50838,1
40731,1
37390,1
27279,0
48597,1
33966,1
19949,0
8824,0
37299,1
4027,0
35178,1
19952,0
35259,1
49611,1
32748,1
36654,1
42027,1
25256,0
29293,0
33931,1
9010,0
50198,1
36090,1
57994,1
47897,1
13451,0
41044,1
16153,0
6472,0
8066,0
8622,0
22935,0
3776,0
11630,0
39325,1
42765,1
29758,1
28169,0
55557,1
47256,1
13639,0
122,0
58067,1
31905,1
4454,0
40702,1
34583,1
8374,0
25648,0
57311,1
12372,0
17139,0
30891,1
52452,1
34970,1
40254,1
20220,0
13421,0
33786,1
43608,1
44758,1
4476,0
11089,0
16443,0
13701,0
34154,1
19314,0
42064,1
38882,1
56476,1
14416,0
35477,1
10924,0
2060,0
27412,0
11959,0
38565,1
5768,0
49468,1
43371,1
25765,0
24893,0
10993,0
3919,0
36339,1
12131,0
32556,1
51165,1
57368,1
10596,0
41584,1
22543,0
46432,1
27572,0
29994,1
49728,1
594,0
13879,0
25937,0
2789,0
13838,0
57748,1
54719,1
16062,0
54369,1
31381,1
27106,0
42226,1
12332,0
52491,1
14932,0
10645,0
47922,1
10673,0
2703,0
37118,1
16846,0
31208,1
1547,0
31602,1
45027,1
43551,1
21081,0
15164,0
54400,1
2247,0
18536,0
13030,0
32314,1
50097,1
11451,0
47258,1
27695,0
16908,0
13282,0
17431,0
1314,0
34946,1
25647,0
45169,1
35154,1
9962,0
52722,1
12537,0
9551,0
20448,0
55823,1
31824,1
3533,0
4341,0
42819,1
35676,1
11655,0
31593,1
29042,0
22089,0
41561,1
32296,1
31974,1
8388,0
11501,0
23922,0
46729,1
54594,1
29254,0
57600,1
1575,0
8935,0
40529,1
54515,1
31239,1
15283,0
228,0
35447,1
36297,1
58131,1
41153,1
11276,0
57395,1
24380,0
27578,0
53117,1
26037,0
38493,1
43035,1
6026,0
48531,1
37937,1
14227,0
58452,1
56992,1
22332,0
1438,0
37314,1
58531,1
16900,0
41759,1
19772,0
18261,0
4698,0
18816,0
278,0
8092,0
6666,0
51504,1
46672,1
43076,1
34875,1
21456,0
17960,0
18827,0
16005,0
45869,1
25087,0
38627,1
50035,1
11274,0
46610,1
9479,0
43477,1
2898,0
45935,1
51989,1
37149,1
33828,1
13883,0
6467,0
28413,0
17536,0
35015,1
32498,1
18705,0
55433,1
3357,0
28615,0
39437,1
51943,1
42227,1
57397,1
20524,0
15290,0
54836,1
17628,0
5796,0
6373,0
38921,1
31016,1
27219,0
4785,0
38555,1
9535,0
14591,0
9573,0
53104,1
30281,1
41767,1
31271,1
9213,0
51466,1
28776,0
35207,1
33194,1
15416,0
36604,1
17217,0
7780,0
33180,1
49899,1
695,0
13578,0
41375,1
15298,0
56700,1
2311,0
26102,0
6209,0
20864,0
56338,1
38619,1
44155,1
7115,0
27597,0
150,0
4782,0
7939,0
519,0
21868,0
17654,0
54639,1
45047,1
30546,1
34495,1
32709,1
28282,0
9531,0
11663,0
45680,1
55350,1
29890,1
29889,1
21935,0
32198,1
17652,0
30394,1
8649,0
32601,1
15299,0
9791,0
53796,1
45307,1
53114,1
12884,0
10279,0
24090,0
54331,1
4369,0
6557,0
10643,0
18516,0
49836,1
15399,0
45795,1
33844,1
26497,0
22368,0
29077,0
5970,0
8728,0
19763,0
19871,0
3075,0
45328,1
29373,1
36010,1
45999,1
25461,0
49356,1
38652,1
40711,1
23980,0
47513,1
19248,0
40782,1
6802,0
1512,0
30528,1
18614,0
168,0
12614,0
4514,0
6352,0
12350,0
55932,1
16424,0
13762,0
40926,1
8817,0
54822,1
25021,0
38853,1
9800,0
44583,1
20606,0
36036,1
515,0
35650,1
42470,1
29426,1
55136,1
17135,0
11208,0
18005,0
1049,0
31226,1
28798,0
4060,0
12167,0
25321,0
28373,0
45701,1
1119,0
969,0
44285,1
49494,1
21532,0
53108,1
7094,0
46077,1
19302,0
48481,1
46257,1
49617,1
36056,1
7878,0
2609,0
26084,0
12520,0
35372,1
6389,0
53189,1
27238,0
18502,0
27722,0
12639,0
13889,0
33250,1
49646,1
30785,1
54172,1
14118,0
55653,1
49943,1
42944,1
5670,0
31812,1
20680,0
17017,0
36041,1
18272,0
38670,1
52983,1
4021,0
48961,1
46449,1
5401,0
43015,1
6367,0
21229,0
48449,1
30599,1
28670,0
25222,0
42711,1
16804,0
5108,0
743,0
42216,1
19797,0
